gene_id,L1,L2,L3,R1,R2,R3
MSTRG.262|Solyc01g005385.1,15,16,24,20,72,53
MSTRG.264|Solyc01g005400.3,729,907,548,960,1023,971
MSTRG.266|Solyc01g005420.2,606,586,557,280,207,249
MSTRG.265|Solyc01g005410.3,2815,3261,2427,1312,1918,1918
MSTRG.267|Solyc01g005430.3,1120,1421,1086,2669,3894,3548
MSTRG.269|Solyc01g005450.3,0,0,0,0,0,0
MSTRG.269|Solyc01g005460.3,766,867,638,854,932,1265
MSTRG.270|Solyc01g005470.3,959,1487,1066,1376,1600,1374
MSTRG.271|Solyc01g005480.3,639,818,578,1537,1796,1560
MSTRG.268|Solyc01g005440.3,23132,25057,16054,22397,29897,20574
MSTRG.273|Solyc01g005500.3,22,28,16,234,245,151
MSTRG.272|Solyc01g005490.3,2242,2507,1819,3230,3811,3910
MSTRG.275|Solyc01g005530.3,1113,1228,969,2484,3639,3168
MSTRG.274|Solyc01g005520.3,50279,58506,46779,396,345,449
MSTRG.276|Solyc01g005540.3,8304,10319,7367,2832,3689,3095
MSTRG.277|Solyc01g005550.3,9577,10142,8060,25292,31321,29859
MSTRG.342|Solyc01g006320.3,217,310,196,902,616,787
MSTRG.343,116,95,72,815,872,1204
MSTRG.345|Solyc01g006340.3,765,1100,608,1735,2226,1816
MSTRG.344|Solyc01g006330.3,18301,21599,17424,15,0,25
MSTRG.346|Solyc01g006360.3,9857,10552,7034,28915,40479,32287
MSTRG.346|Solyc01g006350.3,9,10,11,15,23,15
Solyc01g006390.2|Solyc01g006390.2,0,0,0,27,123,11
MSTRG.348|Solyc01g006380.2,263,348,160,4449,5330,4190
MSTRG.347|Solyc01g006370.3,9920,11831,7349,45070,62660,50956
MSTRG.281|Solyc01g005575.1,2403,2610,2046,4332,5490,5520
Solyc01g005610.3|Solyc01g005610.3,0,0,0,0,0,0
MSTRG.284|Solyc01g005630.2,0,0,0,245,255,237
Solyc01g005650.2|Solyc01g005650.2,0,0,0,0,0,0
Solyc01g005660.2|Solyc01g005660.2,0,0,0,0,0,0
Solyc01g005665.1|Solyc01g005665.1,0,0,0,0,0,0
MSTRG.288|Solyc01g005690.3,4479,5189,3853,10840,13634,13170
MSTRG.290|Solyc01g005705.1,0,0,0,0,0,0
MSTRG.291|Solyc01g005720.3,0,0,0,0,0,0
MSTRG.291|Solyc01g005715.1,0,0,0,0,0,0
MSTRG.292|Solyc01g005730.3,1853,2116,1258,135,140,78
MSTRG.293|Solyc01g005740.3,0,0,0,0,0,0
Solyc01g005750.1|Solyc01g005750.1,0,0,0,0,0,0
MSTRG.294|Solyc01g005800.3,17,47,12,1375,1873,2725
Solyc01g005825.1|Solyc01g005825.1,0,0,0,0,0,0
MSTRG.303|Solyc01g005830.3,2724,3262,2352,6069,8312,9478
MSTRG.301|Solyc01g005860.2,10,20,17,1214,1543,1504
MSTRG.302|Solyc01g005880.1,0,0,0,104,233,191
Solyc01g005890.1|Solyc01g005890.1,0,0,0,8,26,34
MSTRG.308|Solyc01g005940.3,0,6,0,3,0,6
MSTRG.311|Solyc01g005960.3,7602,8847,6385,14425,18491,17676
MSTRG.320|Solyc01g006040.3,1766,1933,1798,4124,5220,4708
